Promo_type,Offer_ID,sku,start_date,end_date,train_test_group
Facades,F26,71c770923102af052f64c6036c9dd590,20200213,20200219,train
Facades,F2,e87788b585ead792a4d40f7de18f2f76,20200102,20200108,train
Facades,F9,5ae92b5e465d630285677e80b43fe5f7,20200116,20200122,train
Facades,F45,0790b472112a765339f0e5c3f66816ee,20200319,20200325,train
Facades,F191,e87788b585ead792a4d40f7de18f2f76,20201112,20201118,test
Biweekly,224,e87788b585ead792a4d40f7de18f2f76,20200514,20200527,train
Billboards,B86,cdab3403355b7fda81a1329b2f05cdec,20201029,20201111,test
Facades,F13,bfce8277f8dacd84c86bcec698f8288d,20200123,20200129,train
Facades,F23,06b43c04dfadb2fca40fd5762c317d48,20200206,20200212,train
Facades,F1,21f64fdc05f0efb66b6c2e64637357f5,20200102,20200108,train
Facades,F5,0a34c9c097c6ee9e81d6dfbc53c27283,20200109,20200115,train
Facades,F53,06b43c04dfadb2fca40fd5762c317d48,20200402,20200408,train
Facades,F55,cdf66debace4bd35ea6559f54b10e352,20200402,20200408,train
Biweekly,227,cdfe49a72b67c006e22a8f963a510105,20200514,20200527,train
Biweekly,219,cdab3403355b7fda81a1329b2f05cdec,20200514,20200527,train
Billboards,B5,119a9ea3a832472e1c163e5c1afba59e,20200109,20200122,train
Facades,F61,abb4e098ecaa45b564e5f6618934a6d8,20200416,20200422,train
Seasonal,164,da8bb038d0f8c420cb66b83c884ee649,20200512,20200601,train
Facades,F172,723dad25536c2cf3fb4fd3f577ee2b7c,20201015,20201021,test
Facades,F30,a0451f50166f9e9b567212204ffe62f5,20200220,20200226,train
Facades,F1,665fb2e942e8cf3bf385343fc9705d88,20200102,20200108,train
Facades,F5,e98b121531fdc38b165ba5600cafd416,20200109,20200115,train
Facades,F59,127e39074161f115975cc43af870a5c6,20200409,20200415,train
Billboards,B96,9817112604594b376adf135efe787bbc,20201203,20201209,test
Facades,F1,d7483512883e2df86a698c7d5404fe95,20200102,20200108,train
Biweekly,227,dd88f22d22d88e3124ea7900c9fe3ebe,20200514,20200527,train
Facades,F173,b8169608d99f3a31891379d394735732,20201014,20201021,test
Facades,F14,182999808e8e8ce0b35df860c4dce872,20200123,20200129,train
Facades,F17,182999808e8e8ce0b35df860c4dce872,20200130,20200205,train
Facades,F44,182999808e8e8ce0b35df860c4dce872,20200312,20200318,train
Facades,F51,182999808e8e8ce0b35df860c4dce872,20200326,20200401,train
Billboards,B88,06ab1c0bfb37a28e3aa7f643ff85ab88,20201105,20201111,test
Billboards,B98,753e100607ecf3e68098739b81e0a645,20201126,20201202,test
Billboards,B1,753e100607ecf3e68098739b81e0a645,20191226,20200108,train
Billboards,B9,2fe5f3c14d694ff3dc09078fcea216a2,20200123,20200205,train
Facades,F175,753e100607ecf3e68098739b81e0a645,20201022,20201028,test
Facades,F19,423ec8e6fbc4d7bb1d7942a67a829b84,20200130,20200205,train
Billboards,B100,753e100607ecf3e68098739b81e0a645,20201217,20201223,test
Facades,F55,64a19ff33015351899b3d4e4b2dadff1,20200402,20200408,train
Biweekly,227,bc0e0673579679d37004475815fb0753,20200514,20200527,train
Facades,F10,6121a40ed541f8fbde25c0342631a34b,20200116,20200122,train
Facades,F50,ece3378af02280bd32d7588c53859f13,20200326,20200401,train
Facades,F19,bbfca132db00387feb5a8f615643128b,20200130,20200205,train
Facades,F21,0cda8ed264994e860a04e6910c783d5c,20200206,20200212,train
