,sleeping_loyal,sleeping_champions,loyal_champions,sleeping_average,champions_sleeping,loyal_sleeping,champions_churn,loyal_churn,count_promo_Facades,count_promo_Billboards,count_promo_Seasonal,count_promo_Biweekly
0,2.5,1.5,11.1,5.6,19.5,19.2,9.7,65.5,33,7,87,0
1,2.1,2.2,10.5,5.4,14.9,23.3,11.3,52.6,94,10,87,45
2,1.9,2.2,1.7,5.4,23.8,12.0,3.2,69.9,83,14,314,45
3,1.8,2.2,1.1,5.8,26.1,11.6,0.6,73.1,45,46,232,122
4,1.4,0.6,0.2,7.9,24.9,11.9,1.4,72.0,30,38,352,77
5,2.2,2.3,0.7,5.5,20.9,16.5,4.3,66.5,39,55,255,245
6,1.8,2.0,1.5,5.9,21.0,14.4,2.0,70.8,62,41,327,168
7,1.7,2.4,1.4,6.0,22.3,12.8,1.6,73.7,77,42,187,236
8,2.7,1.6,11.5,6.2,23.1,16.3,8.0,65.4,59,6,192,68
9,2.3,1.9,1.0,6.4,15.3,22.5,1.3,49.8,84,10,77,185
10,2.1,1.8,9.4,7.4,17.1,24.3,11.6,47.3,149,13,5,117
11,2.8,1.8,8.7,7.5,23.1,16.2,8.6,67.9,129,25,5,229
12,3.8,0.3,4.2,9.4,23.7,25.8,3.3,44.8,66,18,5,112
13,1.7,1.8,4.4,6.3,21.6,21.8,1.0,62.4,35,38,5,112
14,2.2,1.9,8.9,4.8,21.7,13.2,4.9,72.8,119,22,43,153
15,2.9,0.7,7.1,6.8,15.4,23.8,13.0,52.7,125,25,43,41
16,2.7,1.3,2.3,6.6,21.5,13.9,2.2,65.5,56,9,260,41
17,2.4,1.3,1.8,7.2,18.9,14.8,6.6,65.3,50,30,222,121
18,2.6,0.8,0.4,7.7,25.6,16.3,3.9,67.2,54,25,730,80
19,2.7,0.7,0.3,7.1,17.3,16.3,,68.0,62,40,508,189
20,2.6,1.1,1.0,7.5,20.0,13.8,,64.3,56,26,583,109
21,1.8,0.5,0.9,8.2,19.8,14.1,2.9,71.6,48,38,112,179
22,2.9,1.6,1.3,10.8,18.8,16.1,4.9,61.5,131,25,153,70
23,1.8,0.4,0.4,7.7,20.4,16.6,2.4,65.6,300,34,41,136
