,client_id,name0,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11
0,00008fb32c1c30a8ae8356b5591935e0,most frequent,,,,,,,average,,,,
1,00097e5a83bb53c0d0fc6dcc2b4939ab,sleeping,most frequent,most frequent,most frequent,average,sleeping,sleeping,most frequent,sleeping,,average,big spenders
2,000b598bb8fa552507ee02a4d4096682,average,average,sleeping,sleeping,,sleeping,average,sleeping,sleeping,average,sleeping,average
3,000f0fb0885f4f2a0366cfdab3bce390,sleeping,,sleeping,sleeping,,sleeping,,,,sleeping,,
4,00125fe3b05ba65e08e6727837059786,,,,,most frequent,,,sleeping,,sleeping,average,big spenders
5,0025266d85302d590f78356fc756cb33,sleeping,,sleeping,sleeping,,,,,sleeping,,sleeping,average
6,00394c180574d1719172676517e087ea,average,average,average,average,sleeping,,average,sleeping,most frequent,average,average,
7,003aa9d9fc68df348bb36f4183fd25db,sleeping,sleeping,average,sleeping,sleeping,,,,sleeping,,,
8,003aabdc6a1ba4069a40e0f863641d2e,sleeping,,,,,,,sleeping,,,,
9,003bdf063fd140c2f4b0270ee72e908a,,big spenders,,big spenders,,,,,,sleeping,,most frequent
10,003e1b039a24bf1a59739603a7285c24,average,,,sleeping,sleeping,sleeping,,,,,,
11,003fd0982c547375c04e9075ade25ea9,average,sleeping,average,,average,average,average,,average,,sleeping,big spenders
12,0049ec94684ed5a338738e3c8072c0ec,average,average,average,average,average,sleeping,most frequent,sleeping,big spenders,sleeping,,average
13,00519e10e482f70d94d2395f3459b952,,sleeping,,sleeping,sleeping,average,sleeping,,average,sleeping,average,average
14,005740df41b6f960037de9bd45f184c6,sleeping,sleeping,,sleeping,sleeping,,sleeping,,sleeping,sleeping,sleeping,
15,0059129770743d2bce45e555283c06b8,sleeping,,,,,sleeping,sleeping,sleeping,average,,,
16,005aed5784c2930d012762fa1e4c5733,sleeping,sleeping,,,,,,,,,,big spenders
17,005d8c4b703d1ec3e467a55fb5093e4a,average,average,average,most frequent,sleeping,average,average,average,big spenders,most frequent,big spenders,average
18,0062590ec5cca5fc92d2a4254bc4feaa,,sleeping,sleeping,sleeping,,,,,average,average,sleeping,average
19,0064cf2a5f8e8921a36dfd26eabd926b,sleeping,sleeping,,sleeping,sleeping,sleeping,sleeping,sleeping,,,,average
20,006f9c768d5710605f468c3efb37f7c1,sleeping,,sleeping,average,sleeping,average,,sleeping,sleeping,sleeping,,average
21,0076d5ce0d002162b725217d9c950c5d,sleeping,average,sleeping,,,sleeping,,,,,,
22,0080367d1572f54e17444ce2eb8263e1,sleeping,,average,,,sleeping,,sleeping,,,,
23,0080de77607ec3a65e18f4bd5bf9c55e,average,average,most frequent,most frequent,most frequent,sleeping,most frequent,sleeping,sleeping,sleeping,average,
24,0083be753bc21ab5bd067f2b5942b041,sleeping,average,,,,,,,,,,
25,00875669f6f0d2aaaa75a1b3f324618b,sleeping,,sleeping,,,,,,,,,
26,0088b20c059d6f920c8398945a8bde59,average,sleeping,,average,average,,,,,,,average
27,008f114260f64a877e1481facda037e0,sleeping,average,big spenders,sleeping,,,,,,,,
28,0093a09fefb6266a774a37cf024d3d6c,sleeping,,,,,average,,,,,,
29,0094003dec93609ccd0909ce07fc96c6,most frequent,sleeping,average,sleeping,sleeping,most frequent,sleeping,sleeping,average,sleeping,average,sleeping
30,0095bfd9c3ea5f509a40b06fdd7217ae,average,sleeping,average,,,,,,,,sleeping,average
31,009ab8148630220ae3a26dd86b89a2ca,sleeping,sleeping,sleeping,sleeping,sleeping,sleeping,most frequent,sleeping,sleeping,sleeping,,average
32,009d8d95689557f60edf09dc67e5b490,sleeping,,sleeping,,,sleeping,sleeping,sleeping,sleeping,,,
33,00a5da0a21e5006a438aa6949794ab81,sleeping,,sleeping,,,,average,,sleeping,sleeping,,most frequent
34,00a9e93b3559e8efb5b7cb45d4b1beaa,average,average,sleeping,sleeping,average,average,average,,sleeping,average,sleeping,sleeping
35,00aa6208fc2051cac6b8c9308bdb878a,sleeping,,,,,,,average,,,sleeping,average
36,00aad79d2ae4375af93b640d24bedbca,,,,,,,sleeping,,average,,average,average
37,00ad0f13156684a0b18a15a7eafede66,average,sleeping,sleeping,sleeping,,,,most frequent,sleeping,sleeping,sleeping,big spenders
38,00b8a8b3764cc43861d0bfa4dc0af1ee,sleeping,,,,,,,,,,,
39,00c0021b07265d1c658e6675b6031f5d,sleeping,average,sleeping,sleeping,sleeping,sleeping,,sleeping,sleeping,average,sleeping,average
40,00ca4517f41ebc5cf1fe5b7f5b2c742a,sleeping,sleeping,,sleeping,,,average,,,sleeping,,average
41,00cb2d287c9055eb5766c21f144bd681,sleeping,sleeping,sleeping,,,,,sleeping,,,sleeping,average
42,00cc6aaf43cee7d13b1f7ac75f19b9fd,average,,sleeping,,,,sleeping,sleeping,,,,
43,00d4a9c6c0ef5248da37156c862acede,average,,,,,,,,,,,
44,00d69ece52280cfefa842b3651992151,most frequent,most frequent,most frequent,most frequent,most frequent,,average,most frequent,most frequent,average,,
45,00d801728caf81f101f42d223cc5a4bf,,,,average,average,sleeping,sleeping,sleeping,sleeping,,sleeping,
