,client_id,segment_name0,segment_name1,segment_name2,segment_name3
0,be3398b452c34d1d9231b817868f42ac,sleeping,sleeping,loyal,sleeping
1,7ff6ba713ea4c332b7e6c293bf8c1f20,,loyal,,
2,4e7bef87948f62a166f76aceb7ea4320,champions,champions,loyal,champions
3,843f9ead4b26cdf48c1e179990cc9699,,,,active_low-spend
4,481325aa8433c464f7ed7ef1413c2f36,loyal,active_low-spend,sleeping,loyal
5,ed2d4294f53a6582091566ca86118a02,,,,
6,0ac80076da9ebdcecfe98e330606cb95,loyal,sleeping,active_low-spend,
7,c79d0056aa064a413c93d673e7390944,sleeping,sleeping,sleeping,
8,f7477927c57fdbba35d749869dbddd43,loyal,loyal,loyal,champions
9,832dc262738949e29ab6850d1bd6c651,,,,sleeping
10,10aa5b98e8656ec0b69622f52e623282,loyal,loyal,active_low-spend,champions
11,f840095b513acc7863a37f54afb9767d,champions,loyal,loyal,sleeping
12,e430391aee6d2ccba8e37a4aaf22b57b,,champions,,
13,4b679d063aa4f5936d72c6a0005b2e06,,,,
14,037bcd68e5ae755a6bc6eb5c4242775d,,,,
15,ae8448727c570b2ebdf19c1ee5402afa,loyal,,,
16,e744222afab54448697c0e7001d4d2c7,loyal,active_low-spend,loyal,
17,3ecbf6b1593582113399f9d41c9ec4b5,champions,champions,champions,champions
18,6545793ca7943d3cc9b38e3be34563f9,active_low-spend,active_low-spend,,sleeping
19,72fbc4a0c6ae53491f8defa9ed0ffa57,active_low-spend,sleeping,sleeping,loyal
20,37de86891bfa224477dc3451cae08127,,,champions,loyal
21,ea379a873640321399a7a407c3011812,champions,champions,champions,champions
22,bcdd612821e959acce146091c2858ab7,,,loyal,sleeping
23,815976b8287beec43dabc67bc4fcb7af,,loyal,active_low-spend,sleeping
24,2af03a763373d11203663999379def57,loyal,sleeping,sleeping,loyal
25,cd8c4b6a9b7c697135a2687f59c09c0a,,,,
26,f313d68c8dd752f30144864bc8622cc4,champions,champions,champions,champions
27,bd03f09a596a18b554214228e392946e,loyal,loyal,sleeping,loyal
28,18b889456adf882edea620d6502acbad,sleeping,loyal,active_low-spend,active_low-spend
29,07717fa77170a81ea9003856fbab8d6a,loyal,loyal,loyal,loyal
30,f6abe7692329c913a61858f9d57c3648,,,,
31,223b74a74a15b2e762da1e26907326f5,loyal,sleeping,,sleeping
32,9d22488d39240681e552a9894f740f33,sleeping,champions,champions,champions
33,26a6903269186b69c275d069cd43132e,champions,champions,champions,champions
34,f5d2c24a3456a16ed210ecf204e59df4,,,,
35,5f96ce8204aa7fdb2ce76be6c9749b99,sleeping,loyal,loyal,loyal
36,dd5422cf00799d44a7a24ffc1c557e94,active_low-spend,sleeping,active_low-spend,
37,29b8a3222a508ecb58cb2b78cd8baa72,,loyal,sleeping,loyal
38,233c5f523481b9fdf2ca9812961d34fd,champions,sleeping,champions,loyal
39,6a9ce2a93771e31e504352ea3ef2ed27,,,,
40,3ebeac2f3b51c6ae0e98d9b1fc8c2120,,,,
41,4e1063933a4b437a069140c8f50a7327,,,sleeping,
42,f1d76d8f475c1796ae5851c9f1ff02da,sleeping,,,
43,cf68921cea47cd2201cc819fb1d61c2f,loyal,,,
44,b655cd97a08d43dd550cd182be2c8d03,loyal,champions,,loyal
45,cbfc67fa1584f8560ef262b0eb4f1ab2,,,sleeping,
46,f3d78d4e90015d95beddb995ebec1b49,,,,active_low-spend
47,a99baea66730117bd9b7c58d43ea89d8,,,sleeping,
48,c5334bf82b1fd8fda5e4a2be705788ea,sleeping,loyal,loyal,champions
49,f6c24750d90225a2eadd702ed1162245,loyal,loyal,,sleeping
50,5d7c208fa525b3b13bef7078341ef562,,,loyal,champions
51,569111d6552a0368da2e49cc5c7f2818,loyal,,sleeping,active_low-spend
52,7127f5949f819948eaa24534bda7864a,champions,champions,loyal,loyal
53,e5dfe3499e7b81240938a2d19eb33040,,sleeping,active_low-spend,loyal
54,335d1c260cd829bdcffbc256a66781c9,sleeping,sleeping,becoming loyal,
55,8e6c5cda0b65d5f797541c60ae16d108,loyal,loyal,champions,champions
56,ba3bc0758629ce4475dd0d3d412d2306,,,loyal,
57,0782bde3e6a41da3c6227c1e8e5ef42d,,,,sleeping
58,59855026b37f62603d1f0267e2e0eb28,,,,sleeping
59,13115d6e3e77fdf4874727332bba5fe5,sleeping,loyal,loyal,loyal
60,7bf882556fc6a8ee00fabc2deed5da99,sleeping,loyal,,active_low-spend
61,71fd25eda32764ee94c94dcb636db554,,loyal,loyal,loyal
62,2bc92341247345720c04ba669a98c6da,,sleeping,,sleeping
63,6bc58e605d24922936d14bf3c8a92ac5,loyal,,loyal,
64,c4a135aa4021f5923d611a7f8e7cbd1b,sleeping,loyal,sleeping,sleeping
65,4f7ee90053fd6cf16237d991a33c0886,loyal,loyal,champions,champions
66,d9cf22c49a2584e8648b87eec30fa53b,sleeping,,,sleeping
67,4a26c58ee26e182d8e1a71c2347fd5d5,loyal,champions,,
68,a10e03ac9c56131716c81176c090e334,,,,
69,2fcd7c44098462c16ba45345db937c81,,loyal,,
70,a3a8028658ba42540b0422e265eaed96,,loyal,,
71,5038ee57e92e18e1dcc1c852f77ee736,loyal,loyal,champions,champions
72,fac17a15320c6b910122487e9f6e3654,,loyal,,sleeping
73,207c8fc3b347e3d5c9cb1f9a02a795d8,loyal,loyal,active_low-spend,loyal
74,46f9b73d0ec70713ad1fe47a542913f9,,,,sleeping
75,de205f681fd7a45ad1addba301d79120,,loyal,active_low-spend,champions
76,b207dd956255787cdc242772896cf370,,,,
77,146f8226e9fb4827e03158e0cf95eb0d,loyal,champions,champions,champions
78,070996c3961d9cf2d8d2fdf3e990e2b1,,sleeping,active_low-spend,
79,b8c99d0cf251d1f2d8faf4d4d8dc7a5d,loyal,,sleeping,champions
80,ef028528bcda3813000a743962b1729a,,loyal,loyal,sleeping
81,b66c99e2d0f335386e2be872674360c2,,,sleeping,
82,24cfc2997598b890c814f2b2978fca16,sleeping,sleeping,,
83,7e45c065c3ea10230ab408f44e8c9bb5,champions,champions,champions,champions
84,18b9962207287ca57808c97e14a89962,champions,champions,champions,champions
85,7bc72cffb57a0d00285c1f70cdbb137a,,sleeping,,
86,ad704295347f7bee9505c55a911e117d,sleeping,,,
87,f98b80cef77213c7ce2fc434d1d0571b,,,loyal,
88,88278e78178a6bf02c0f98f2abf61e05,champions,champions,champions,champions
89,b3176a8cc59d241cb88f594a5a2d9d8a,sleeping,sleeping,,loyal
90,4d329c29a8e6cbf25570589aab51bb9f,,,,sleeping
91,cd253decb08621259cdab936a5ceda8a,sleeping,sleeping,,sleeping
92,139a81f3a795c4ee2b304ef4b877d9f1,sleeping,loyal,loyal,champions
93,0560ac7d836f6418a1c200f1477a833c,,,loyal,active_low-spend
94,0495733afcdb3a010a2b3718c0cd6180,sleeping,,,
95,45e29e2158581983e0a419c3afb6b9fa,champions,loyal,sleeping,champions
96,4fecd54816c7eb89993e8f872b772630,,,,sleeping
97,dd722ce26b1101070f3f7765a1a09973,sleeping,active_low-spend,active_low-spend,sleeping
98,e8f39036e7b2af15b1efe16cbb912172,sleeping,sleeping,sleeping,
99,ad47f2c52457e12c405f678d54c66866,champions,active_low-spend,champions,loyal
100,e92efcbb0ee53701e612e43d8fda8789,,,active_low-spend,
101,10e86906a66e0a01ef28e2bcadc576cc,sleeping,,,active_low-spend
102,72aa2be96f7ec7d529ac1db27e4f88e4,sleeping,,,
103,3e863ca9fc7ffd2a4555c768b47e3b26,,,,
104,bc9383412acb17ef5ca58400dec3282e,,sleeping,sleeping,
105,5c6e957a49a61cc309a8cc513fd3866d,sleeping,active_low-spend,loyal,
106,480f3783ff42b1eda1654c3251fe8f0e,,,loyal,
107,cfdc8627cb79596bc2c7c34be2e34d03,loyal,loyal,loyal,sleeping
108,58eacbeee71ea2a01585a62d4ada5af0,loyal,sleeping,,
109,ff062cd187cf4ef8a3431b61e0d8bbe7,champions,champions,champions,champions
110,8b00ccfaa4cef0ba44205dcb394d55e1,,,,
111,790e2b6f583db51f988b243744e84e73,,,,sleeping
112,72554746941d6bd289f11d9b78689edd,,sleeping,,loyal
113,f3918ce42ecf4394136e6cc21c2e2145,,,sleeping,
114,c1059ea49db3f817dfcba1766b6f335a,loyal,,,
115,77633d469b0eb89d1d2cdbc154edc8df,,,,loyal
116,0f997c15f8a0893baa0089270da635fd,,sleeping,,
117,895dc69c2ab9ea04aa237994caf12fab,,loyal,,
118,065b3d785a9808c72118a1c8a6e90b43,,,,
119,8f1cfef22f1e9d3988bb1b5ed485ce61,,,,sleeping
120,fee8b076e67ce0d012bb5857b2cf92b3,champions,champions,champions,champions
121,775ab0077d1bf97ff88afaf7beb400ef,loyal,champions,champions,champions
122,443e1ada00a770058d5188cd3f86c4d4,champions,champions,champions,champions
123,b7109490efe2e299ed60ab59dac4bb8e,,,,
124,d3d57122c82060e5c510f6a468c3626e,,loyal,loyal,sleeping
125,548a0c9b6fa90f98ec14a7595450bba6,,sleeping,sleeping,
126,33ad15d751b724e9702af8f7ec1322c1,loyal,champions,loyal,loyal
127,1f759b743f6e810a72ebc5d4c0c4c725,sleeping,,active_low-spend,loyal
128,dc100a7e57cb88031d0d3b6b7d47f517,,loyal,loyal,sleeping
129,30f7e31a03acdcff27692898c5dea131,,,champions,loyal
130,be1525f34a52116b4d60cb8621952fc7,,,,champions
131,1540239cf3918d88c640a780e9063815,loyal,champions,champions,champions
132,2388a017f1882434055a8ff05dab8d77,sleeping,sleeping,becoming loyal,becoming loyal
133,3c557664c2dd90423c43ee0ff6eaf738,champions,champions,,
134,19f1784ff938db34e8972d48d82205de,,,sleeping,
135,83170e5620adbebbad24657d577dbc2e,loyal,sleeping,loyal,sleeping
136,6dc593d0c7100d865cfc60ccd386f9b0,champions,,,
137,e8fc2b9a4bad0f55a5e77bfbfbbd389b,sleeping,loyal,,
138,ea6e81781d5b95b2333a609c0da30c17,champions,sleeping,champions,champions
139,3fa41996e708fc04b1bf5877aa1bbf1a,sleeping,sleeping,sleeping,
140,63454da1408bc1d617da2405273a0c08,loyal,sleeping,sleeping,loyal
141,a9daabc1d4243d96d6fce0a6cd0e5480,,sleeping,,
142,b5180e6e507f6e743eb9a3348f963a0a,champions,loyal,loyal,loyal
143,f4ba789121f509e07f8c5b0a6b6837cf,,,loyal,
144,b5803a253d1bc3ec184b480ae7b5be93,loyal,champions,loyal,loyal
145,68aeb3dd906d28847b67d6298f0229df,,,,sleeping
146,7f8e7402f9eb773cadcd03e1815a0257,loyal,champions,champions,champions
147,8431004b4a6948c74d3855edab0d13f6,,loyal,,
148,b88cedd29029f2489f91277bdde78779,,,sleeping,
149,413b4f19748e2b2c02ba9ee40a72a6cc,loyal,champions,champions,loyal
150,9e61c9f20cbc465250c26b48bbf44e0d,loyal,champions,champions,
151,20953d19c6b56c793c9765b020fbed67,sleeping,,,
