client_id,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMScore
00008fb32c1c30a8ae8356b5591935e0,12,48,14320.549999999997,3,4,4,344
0002b716f087267d868325afad2989ce,41,2,105.42999999999999,1,1,1,111
0005b7ebab1e76312231acce6ec054b8,32,1,66.49,2,1,1,211
00097e5a83bb53c0d0fc6dcc2b4939ab,5,19,1749.3199999999997,4,4,4,444
000b598bb8fa552507ee02a4d4096682,11,10,550.8100000000001,3,4,3,343
000f0fb0885f4f2a0366cfdab3bce390,4,5,233.98,4,3,2,432
00125fe3b05ba65e08e6727837059786,83,1,75.21,1,1,1,111
00157fd1a5d51498f4f6b163341ba789,37,2,105.11,1,1,1,111
001ade57055e272b4dfd41b701710e35,1,4,710.34,4,2,3,423
001b500e8864cd8c98f0cb50a3d8a670,37,1,3.49,1,1,1,111
001db1eb0f1f8d2eddc350ee6b5f9ddc,24,1,184.22,2,1,2,212
00234b12b504293a70f7bbf9ad4a207d,50,2,147.49,1,1,1,111
0025266d85302d590f78356fc756cb33,27,3,190.17000000000002,2,2,2,222
0025e578789f9f29a97b4f33c4edaa78,3,12,1295.5700000000002,4,4,4,444
0035493aea0f02271c7204e02af85d6c,1,59,5678.43,4,4,4,444
0035909efd9059c924837aa65a73f87c,4,22,2565.2400000000002,4,4,4,444
0036108a19275d89a0bbba144e39eada,27,3,115.66999999999999,2,2,1,221
00394c180574d1719172676517e087ea,16,6,882.8399999999999,3,3,3,333
003aa9d9fc68df348bb36f4183fd25db,4,6,2397.92,4,3,4,434
003aabdc6a1ba4069a40e0f863641d2e,65,1,158.0,1,1,1,111
003bdf063fd140c2f4b0270ee72e908a,38,4,866.6800000000001,1,2,3,123
003e1b039a24bf1a59739603a7285c24,74,5,994.22,1,3,3,133
003fd0982c547375c04e9075ade25ea9,13,9,561.86,3,4,3,343
0049ec94684ed5a338738e3c8072c0ec,1,7,317.94,4,3,2,432
00509f91c593c34741b0bc200cb1e734,21,2,114.48,2,1,1,211
00519e10e482f70d94d2395f3459b952,37,3,406.13,1,2,2,122
0051a0fb6eef83b7ccf057b03ef0fffa,9,1,25.69,3,1,1,311
0055740086d2bb5e92b294765886c598,17,1,200.45,2,1,2,212
0055d83771e37f658757a83f8670b724,52,1,323.03,1,1,2,112
005740df41b6f960037de9bd45f184c6,35,2,167.48,2,1,2,212
0059129770743d2bce45e555283c06b8,64,1,134.0,1,1,1,111
005aed5784c2930d012762fa1e4c5733,39,3,812.54,1,2,3,123
005d8c4b703d1ec3e467a55fb5093e4a,2,14,792.9000000000001,4,4,3,443
005df868720277eb4858f226927e5292,57,2,312.03999999999996,1,1,2,112
0062590ec5cca5fc92d2a4254bc4feaa,4,5,711.73,4,3,3,433
0064cf2a5f8e8921a36dfd26eabd926b,44,3,376.40999999999997,1,2,2,122
00672e9ed1643c66bd8e916d4a964d2d,18,6,736.3800000000001,2,3,3,233
00698aea5b915a68244728781d831e4c,27,1,114.65,2,1,1,211
006b83739e32337be0a7258238813e8d,1,8,931.03,4,3,3,433
006d7d214b73b00e64a83f8147e8c1af,10,2,1991.01,3,1,4,314
006f9c768d5710605f468c3efb37f7c1,10,4,683.31,3,2,3,323
007237f45687169015800678e0e146db,4,1,139.99,4,1,1,411
0076d5ce0d002162b725217d9c950c5d,25,4,185.04,2,2,2,222
0077d0dfb7009eec4370afe0d05d1a49,47,2,41.980000000000004,1,1,1,111
0080367d1572f54e17444ce2eb8263e1,10,5,1007.0799999999999,3,3,3,333
0080de77607ec3a65e18f4bd5bf9c55e,15,15,1407.8300000000002,3,4,4,344
0083be753bc21ab5bd067f2b5942b041,43,5,311.06,1,3,2,132
00872d36a2b99eb7bfbe44c2c9bd1e98,33,2,250.38,2,1,2,212
00875669f6f0d2aaaa75a1b3f324618b,19,3,159.93,2,2,1,221
0088b20c059d6f920c8398945a8bde59,51,4,209.76,1,2,2,122
008f114260f64a877e1481facda037e0,1,11,2997.5899999999992,4,4,4,444
0093a09fefb6266a774a37cf024d3d6c,87,1,1378.12,1,1,4,114
0094003dec93609ccd0909ce07fc96c6,15,13,1307.98,3,4,4,344
0095bfd9c3ea5f509a40b06fdd7217ae,25,8,787.39,2,3,3,233
009ab8148630220ae3a26dd86b89a2ca,22,5,162.24,2,3,2,232
009d078a50c98591da51e79cae55ba2a,43,2,207.76,1,1,2,112
009d8d95689557f60edf09dc67e5b490,27,3,2807.3,2,2,4,224
009f3126936875d007202aa2cb474cf3,16,5,705.64,3,3,3,333
00a1d2c9c2e19abe2ab08e1a9dfbbd0c,3,23,2564.53,4,4,4,444
00a5da0a21e5006a438aa6949794ab81,22,3,156.97000000000003,2,2,1,221
00a9b96ebe4561c5812016d688118591,2,1,284.98,4,1,2,412
00a9e93b3559e8efb5b7cb45d4b1beaa,18,11,637.62,2,4,3,243
00aa6208fc2051cac6b8c9308bdb878a,71,1,856.3,1,1,3,113
00aad79d2ae4375af93b640d24bedbca,78,1,44.99,1,1,1,111
00ab4a218b0fb8fbb0bfe07a67b03e38,25,1,251.15,2,1,2,212
00ad0f13156684a0b18a15a7eafede66,4,7,771.33,4,3,3,433
00b3f7fbbccc30bf4deefcb552e83696,1,22,1499.0200000000002,4,4,4,444
00b7aa3002fccb3ed6afb19d74d67f40,1,39,2649.44,4,4,4,444
00b8a8b3764cc43861d0bfa4dc0af1ee,79,2,85.53999999999999,1,1,1,111
00bb6a4443ba9e9353126632b311f59c,40,1,25.19,1,1,1,111
00c0021b07265d1c658e6675b6031f5d,15,6,1463.7099999999998,3,3,4,334
00c2b1d47ba17bf2753b627a255654e0,29,1,19.99,2,1,1,211
00c3d206d1b6d82d7285c634a7bdf607,40,1,187.99,1,1,2,112
00c52b4835ef83f8af242747a39554c1,31,1,3.49,2,1,1,211
00ca4517f41ebc5cf1fe5b7f5b2c742a,40,3,237.14999999999998,1,2,2,122
00cb2d287c9055eb5766c21f144bd681,23,3,147.39,2,2,1,221
00cc6aaf43cee7d13b1f7ac75f19b9fd,23,4,339.68,2,2,2,222
00d05a1e9c236096236b6f12391f4c45,42,2,315.24,1,1,2,112
00d4a9c6c0ef5248da37156c862acede,71,3,115.25999999999999,1,2,1,121
00d69ece52280cfefa842b3651992151,8,23,2655.2599999999998,3,4,4,344
00d801728caf81f101f42d223cc5a4bf,85,1,49.99,1,1,1,111
00dfd1dab4ff6ae0c21da1a85c361e80,82,1,1469.0,1,1,4,114
00e1a6189f5b9ddde8041f450b0d8483,62,1,124.99,1,1,1,111
00e3c7ebd7db1c0ac1d24344e31355bb,2,17,1996.8400000000001,4,4,4,444
00e42f511e3c450a8f3accea2007c54b,16,4,2029.14,3,2,4,324
00e4edcb55575fb8d4074650754854ce,8,8,453.09,3,3,3,333
00e5e38b8db3cb439ac3707aa7aeed95,2,16,1886.2199999999998,4,4,4,444
00e6f14db2ad47ffa1084f27dddd1af6,21,8,2942.730000000001,2,3,4,234
00e7469cbfd286267003d12e136821de,8,9,691.6700000000001,3,4,3,343
00ed549c5de54a1d419986554fc44511,1,1,69.51,4,1,1,411
00eed474c14f9b22aec058bc39e5c6f3,16,6,587.75,3,3,3,333
00f49129999890a44d6afcc670ee96b3,37,1,57.42,1,1,1,111
00f5274d206efa87cadf68f8b99238cd,1,9,1041.6299999999999,4,4,3,443
00f8817b8a9e47c148f2c097f92df1c3,13,6,290.08,3,3,2,332
00f9287c4decdf0f9182dd15d30bb71d,12,3,426.5,3,2,2,322
00fbc22b589ec35ccdfd431672ccf7da,69,3,376.23,1,2,2,122
00ff79b174aeedd629f99c23fc13dc5d,4,2,266.23,4,1,2,412
0101a525b25400bc972e06655d65fc0d,18,8,496.64,2,3,3,233
010222f02a056a054c9ee6be06b2154f,7,6,356.64000000000004,3,3,2,332
01052baba6a7e56c965a13198964fa7c,32,4,354.1,2,2,2,222
010bfb6072995d7dafdc5e814aeab1d0,28,5,959.8299999999999,2,3,3,233
010d23a3f8e4071dfe829d9684d40b6e,5,11,4032.49,4,4,4,444
0110371e62e5060f62e80adb61f2847b,3,8,842.5,4,3,3,433
0113fd43a5f75aaf81c27f89b26c68d1,1,96,9699.689999999997,4,4,4,444
01155e271024f1d07b712c6db5dab377,36,1,53.18,2,1,1,211
01190776bec41cdf11d12c0517c40f91,10,9,2686.7,3,4,4,344
011985e773ed28af623a306581150b9c,5,8,2465.76,4,3,4,434
011ab0219b8e39a243fc3fdf40aa2623,4,5,436.0,4,3,3,433
011ff858d6824c1c292361420f6cd012,8,1,153.9,3,1,1,311
01223e751f579865086607837d84ca17,10,8,831.76,3,3,3,333
0123b6aea8ff4d0d9eace3cb04809d01,64,5,401.64000000000004,1,3,2,132
0124870dcc0743b75843dc58a3f73660,30,2,1618.02,2,1,4,214
0126698bf0852a3c3912153008ad3284,4,6,252.38,4,3,2,432
012b682b4ead97e70fa4997834fd11bf,5,10,1053.98,4,4,3,443
012d4ac655574bf4a121a29080e04b9d,18,3,278.67,2,2,2,222
012e53a217af04b3fabbdc607a075f79,3,25,3497.3799999999997,4,4,4,444
012e54be30f2e628f8836b8e48e0835b,20,4,347.61,2,2,2,222
0135dd12f71f1cdfeaedbcb0ba97a940,42,4,147.32999999999998,1,2,1,121
013cb4ac6e134e39f9f5794750677b73,3,8,559.65,4,3,3,433
0141c75b42a2cb1d72742ae8eae6945c,45,4,917.6700000000001,1,2,3,123
0144ed4a0612e2fd83bbcc9d92da472b,1,61,2947.729999999999,4,4,4,444
0145dd347c12fea121c5ae7eb9c99ee8,6,4,495.91,3,2,3,323
01487d39325bcec1a7f79e6c8eddf383,16,1,149.99,3,1,1,311
0148cd60d16150c24baf8da5c05d95eb,17,5,237.55,2,3,2,232
014961c24b58dab2aef1db8508825570,19,2,55.46,2,1,1,211
014ae63ca75a85be364c4b9b3db0ca74,3,12,1061.07,4,4,3,443
014b6ca913e81a61c09a0f420258025f,82,1,42.99,1,1,1,111
014c91db6c689bac83f07a8e35bcb6cd,80,1,129.99,1,1,1,111
014ebfe80db23a18e451e58bca0c5b32,22,6,991.4300000000001,2,3,3,233
014fa265f375c4aff5d779757c918ed8,4,4,407.12,4,2,2,422
01519b6ad7f5c633cf74bda2ec843c63,2,14,1893.44,4,4,4,444
0152ff9cd34bc8b7f741e5f37da95c07,12,3,863.99,3,2,3,323
