,index,client_id,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMScore,recency_score,frequency_score,monetary_score,rfm_score,segment_name
0,0,00008fb32c1c30a8ae8356b5591935e0,12,48,14320.549999999996,3,4,4,344,2,3,3,233,LOYAL
1,45,0080de77607ec3a65e18f4bd5bf9c55e,15,15,1407.8300000000004,3,4,4,344,2,3,3,233,LOYAL
2,52,0094003dec93609ccd0909ce07fc96c6,15,13,1307.98,3,4,4,344,2,3,3,233,LOYAL
3,87,00e6f14db2ad47ffa1084f27dddd1af6,21,8,2942.7300000000014,2,3,4,234,2,3,3,233,LOYAL
4,105,01190776bec41cdf11d12c0517c40f91,10,9,2686.7,3,4,4,344,2,3,3,233,LOYAL
5,109,01223e751f579865086607837d84ca17,10,8,831.76,3,3,3,333,2,3,3,233,LOYAL
6,149,01789354a9205ac0e120df806b507ec8,13,7,934.22,3,3,3,333,2,3,3,233,LOYAL
7,168,01a92730f6583058b297cc7cb813c430,21,8,1361.6,2,3,4,234,2,3,3,233,LOYAL
8,184,01c09d01f09e016f2595148376f35d04,15,8,2012.35,3,3,4,334,2,3,3,233,LOYAL
9,200,01eafd232fd66041c5c98e7add2f1f94,12,14,972.85,3,4,3,343,2,3,3,233,LOYAL
10,206,0200b979ed19bfa86d5c31b77a7a28b0,13,7,926.31,3,3,3,333,2,3,3,233,LOYAL
11,226,0223d0c02da8b9139e221af0be109357,10,11,1112.88,3,4,4,344,2,3,3,233,LOYAL
12,243,0257801aaf0e465b24bcdef3d794dd8d,11,10,1023.69,3,4,3,343,2,3,3,233,LOYAL
13,252,02679a8c31308a0c794722c558b5b61a,19,7,1243.36,2,3,4,234,2,3,3,233,LOYAL
14,271,02accb14c753bf7854abad2ad821580b,10,16,1364.9,3,4,4,344,2,3,3,233,LOYAL
15,279,02c017695eeb8be603a1153af96c2ec9,24,7,1322.96,2,3,4,234,2,3,3,233,LOYAL
16,286,02cf0e7680da5ed73946ecb8bbe59dd9,23,9,889.3399999999998,2,4,3,243,2,3,3,233,LOYAL
17,288,02d59ffe065c2f1b25ed63623c0d03d5,12,8,1904.31,3,3,4,334,2,3,3,233,LOYAL
18,291,02dacab790bcaf21747858d7d3fea290,21,17,1603.0300000000002,2,4,4,244,2,3,3,233,LOYAL
19,328,03424b7425dab5578674da1472d2ec1e,17,14,1931.58,2,4,4,244,2,3,3,233,LOYAL
20,331,034c641716792b125e9078db58f86519,20,13,2092.74,2,4,4,244,2,3,3,233,LOYAL
21,367,03b8d259522bf0602b04f520abd6da6b,16,20,1571.17,3,4,4,344,2,3,3,233,LOYAL
22,387,03df9e3254526946dd7945f1744da161,11,9,1024.03,3,4,3,343,2,3,3,233,LOYAL
23,431,0456d9be0a615539dce68413078b199d,27,8,1016.58,2,3,3,233,2,3,3,233,LOYAL
24,460,04ac8420c570bb6c03cb6c1e8855b46c,24,7,955.19,2,3,3,233,2,3,3,233,LOYAL
25,479,04e41184eb58a18a82fd095561b025d5,22,13,3114.7899999999986,2,4,4,244,2,3,3,233,LOYAL
26,486,04f3e43749cb5690a275f9859c0d1f2b,25,8,1391.11,2,3,4,234,2,3,3,233,LOYAL
27,487,04f47583d51019a257d6054d517923a1,19,7,793.99,2,3,3,233,2,3,3,233,LOYAL
28,516,0532bb4127c89c77b7618068a79d3360,13,8,2200.75,3,3,4,334,2,3,3,233,LOYAL
29,534,05682a37cc5cc11ce67970589ddd8811,14,19,1011.0900000000003,3,4,3,343,2,3,3,233,LOYAL
30,535,05696790c995b181b350b446962234ea,16,7,880.8700000000001,3,3,3,333,2,3,3,233,LOYAL
31,567,05c19aac73d3ee9855cb5d56b01bf04e,17,11,2733.99,2,4,4,244,2,3,3,233,LOYAL
32,612,0633232c460cb7fc185bbe3b3e6d0b3e,23,40,4571.82,2,4,4,244,2,3,3,233,LOYAL
33,645,067028d78424caeda26549b1d48f54f3,16,10,919.7,3,4,3,343,2,3,3,233,LOYAL
34,705,07149cc85f5f8555828c50e561d25484,20,9,1051.64,2,4,3,243,2,3,3,233,LOYAL
35,720,073817c3c6b216b49fe344c9e57aeb5d,10,8,1160.28,3,3,4,334,2,3,3,233,LOYAL
36,729,0755d56e41f03d53998369252a31f051,25,12,3787.34,2,4,4,244,2,3,3,233,LOYAL
37,733,075f9cd05bb78fdc2fc5e1fdca75ec33,16,9,1722.94,3,4,4,344,2,3,3,233,LOYAL
38,742,076f751f2b4b23c797939a4914a4b92b,11,8,858.19,3,3,3,333,2,3,3,233,LOYAL
39,752,077ab4637712f7a1ef1c05d310d054d3,23,7,3422.04,2,3,4,234,2,3,3,233,LOYAL
