,client_id,segment_name0,segment_name1,segment_name2,segment_name3
0,46e2fc9acf42ffbeded64cddd30bdd0c,champions,champions,champions,champions
1,46331bcdca162b2ede031bb4c77aac58,,average,average,need attention
2,a9b23251b561ebb16ceb5d41ef3091e1,average,sleeping,sleeping,
3,4132ac41c2a72372a0135c22f0903e00,,,,
4,84558f049676194c3b2c91c71390fa30,average,champions,average,
5,abb0a14cb8665148cfcbbd7b25e423fe,,,,sleeping
6,a78bbc61cf64905c4ad52bf5f96c455d,,average,average,
7,fc8242d6ab4a783d3c9d02201cbbe3c7,,sleeping,need attention,
8,3e8fabcb63d28df690571c435760be6d,average,,sleeping,
9,899211df5da9ebcb579033f509075917,average,average,average,average
10,2c587f947a229213170cae202b1c9e18,average,loyal,sleeping,
11,606bebcc8df2b5b3951be5fb253fab8f,,average,,
12,8c8652ecb159586d081b3013e5aaa403,,,sleeping,
13,f4da88835d3d4b65d9774c3035095b1d,,average,,
14,51d0c8f6cc62ac029844bfe644d69c09,,sleeping,average,
15,820f147cacd293894e0d715f89f003c9,,,,
16,5bebe6278c548f9dc6dc885a5c820214,,,sleeping,sleeping
17,0ca8b75f01e4bc96d01090ed858bf18c,champions,sleeping,average,average
18,812b26ab23308e40fa919815354a778e,champions,loyal,champions,champions
19,db4d7d0ad5221bb26c96e2d1f1576b22,average,champions,,loyal
20,50a93ff97433912b9d4116c8d406db50,,need attention,sleeping,champions
21,3e1974bd39802aa4f259cf003121cf11,,,,average
22,deb0bfe8540fd39274310a8a80b35491,,sleeping,champions,champions
23,34dadbcf86da09d15b3354b863790704,champions,champions,average,
24,29b5c9e88730f0c2449a64de7de76199,champions,average,champions,champions
25,61f4e60b70205220c89648e3bcead162,,,average,loyal
26,f3fe3c0e1b8e8c9ba0dbfaa27930bb34,,loyal,sleeping,champions
27,b521a542dc2b4172697b2c1ce5466dbd,sleeping,average,average,loyal
28,16325d2ddad3aaf0034d0d9e6a32781e,sleeping,sleeping,,sleeping
29,9cb487322d6791d16cd586b274853b84,sleeping,average,,
30,1a410e845e059577037b58ad6e7c1a0d,champions,champions,champions,champions
31,a3db45e2dd95a1db8aac6af2d2170e5d,champions,champions,loyal,loyal
32,352d23b0bc811eb042f2ce01ab7ba0ff,sleeping,average,sleeping,average
33,06e3e7ff633a3addd12d5940b513ef80,champions,champions,champions,champions
34,45695dcce37a485d6adffb3e8950879e,loyal,,,
35,738dabddcf87d8064b1bb9a924efd2ba,,need attention,,average
36,9ebd6032e2b4ca884b71e47776fac880,,sleeping,,
37,7d70e52a21ad1f744d3ec3f8f68a603c,sleeping,sleeping,need attention,sleeping
38,5f3ae96cb6126898f60dda7eb9c8e422,need attention,sleeping,champions,champions
39,2c65caba72fc29bc9c173b5482486d0d,sleeping,,,average
40,c17ae6d3f73a0ed208a7ffe75988e106,sleeping,sleeping,sleeping,
