,client_id,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11
0,00008fb32c1c30a8ae8356b5591935e0,1.0,3.0,4.0,,,,0.0,0.0,,,,
1,00097e5a83bb53c0d0fc6dcc2b4939ab,0.0,4.0,3.0,3.0,3.0,1.0,0.0,3.0,0.0,,1.0,4.0
2,000b598bb8fa552507ee02a4d4096682,4.0,4.0,1.0,0.0,,1.0,0.0,0.0,0.0,3.0,1.0,4.0
3,000e39c7851a68fbcb8a53fa19125f3c,0.0,,,,,,,,,,,
4,000f0fb0885f4f2a0366cfdab3bce390,0.0,0.0,1.0,0.0,3.0,1.0,,,0.0,0.0,,
5,00125fe3b05ba65e08e6727837059786,0.0,,,0.0,3.0,,0.0,0.0,0.0,0.0,1.0,4.0
6,001f2e86d6714c4c8d744a49af96b19e,0.0,,,,,,,,,,,
7,0025266d85302d590f78356fc756cb33,0.0,,1.0,0.0,,,,,0.0,,1.0,4.0
8,0025e578789f9f29a97b4f33c4edaa78,0.0,0.0,1.0,3.0,0.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0
9,0035493aea0f02271c7204e02af85d6c,1.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,2.0
10,0035909efd9059c924837aa65a73f87c,4.0,4.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0
11,00394c180574d1719172676517e087ea,0.0,0.0,3.0,3.0,3.0,,0.0,0.0,1.0,3.0,1.0,4.0
12,003aa9d9fc68df348bb36f4183fd25db,0.0,0.0,1.0,0.0,3.0,,,,0.0,,,
13,003aabdc6a1ba4069a40e0f863641d2e,0.0,,,,,,,0.0,,,,
14,003bdf063fd140c2f4b0270ee72e908a,4.0,4.0,,2.0,2.0,,,,,0.0,,0.0
15,003e1b039a24bf1a59739603a7285c24,0.0,,,0.0,3.0,1.0,,,,,,
16,003fd0982c547375c04e9075ade25ea9,0.0,0.0,1.0,0.0,3.0,1.0,0.0,,0.0,,1.0,0.0
17,0049ec94684ed5a338738e3c8072c0ec,0.0,0.0,1.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,,4.0
18,00519e10e482f70d94d2395f3459b952,4.0,0.0,,0.0,3.0,1.0,0.0,,1.0,0.0,1.0,4.0
19,005740df41b6f960037de9bd45f184c6,0.0,0.0,,0.0,3.0,,0.0,0.0,0.0,0.0,1.0,4.0
20,0059129770743d2bce45e555283c06b8,0.0,,,,,1.0,0.0,0.0,1.0,,,
21,005aed5784c2930d012762fa1e4c5733,0.0,0.0,,,,,,,,,,4.0
22,005d8c4b703d1ec3e467a55fb5093e4a,4.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,0.0,4.0
23,0062590ec5cca5fc92d2a4254bc4feaa,4.0,0.0,1.0,0.0,,,,,0.0,3.0,1.0,4.0
24,0064cf2a5f8e8921a36dfd26eabd926b,0.0,0.0,,0.0,3.0,1.0,0.0,0.0,,,,4.0
25,006f9c768d5710605f468c3efb37f7c1,0.0,0.0,1.0,0.0,3.0,1.0,,0.0,0.0,0.0,,4.0
26,0076d5ce0d002162b725217d9c950c5d,0.0,4.0,1.0,,,1.0,,,,,,
27,0080367d1572f54e17444ce2eb8263e1,0.0,,1.0,,,1.0,,0.0,,,,
28,0080de77607ec3a65e18f4bd5bf9c55e,0.0,0.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,
29,0083be753bc21ab5bd067f2b5942b041,0.0,4.0,,,,,,,,,,
30,00875669f6f0d2aaaa75a1b3f324618b,0.0,0.0,1.0,,,,,,,,,
31,0088b20c059d6f920c8398945a8bde59,4.0,0.0,,3.0,3.0,,,,,,,4.0
32,008f114260f64a877e1481facda037e0,0.0,4.0,0.0,0.0,,,,,,,,
33,0093a09fefb6266a774a37cf024d3d6c,0.0,,,,,3.0,,,,,,
34,0094003dec93609ccd0909ce07fc96c6,4.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
35,0095bfd9c3ea5f509a40b06fdd7217ae,0.0,0.0,3.0,,,,,,,,1.0,4.0
36,009ab8148630220ae3a26dd86b89a2ca,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,,4.0
37,009d8d95689557f60edf09dc67e5b490,0.0,,1.0,,,1.0,0.0,0.0,0.0,,,
38,00a1d2c9c2e19abe2ab08e1a9dfbbd0c,4.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,1.0,0.0,3.0,0.0
39,00a5da0a21e5006a438aa6949794ab81,0.0,,1.0,,,,2.0,,0.0,0.0,,0.0
40,00a95e1cb0fffa9f517ab34d971fc7a8,0.0,,,,,,,,,,,
41,00a9e93b3559e8efb5b7cb45d4b1beaa,4.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
42,00aa6208fc2051cac6b8c9308bdb878a,0.0,,,,,,,0.0,,,1.0,4.0
43,00aad79d2ae4375af93b640d24bedbca,0.0,,,,,,0.0,,0.0,,0.0,4.0
44,00ad0f13156684a0b18a15a7eafede66,0.0,0.0,1.0,0.0,,,,3.0,0.0,0.0,1.0,0.0
45,00b3f7fbbccc30bf4deefcb552e83696,4.0,4.0,4.0,3.0,3.0,1.0,,,0.0,2.0,0.0,2.0
46,00b7aa3002fccb3ed6afb19d74d67f40,1.0,4.0,4.0,3.0,0.0,3.0,2.0,3.0,1.0,3.0,3.0,0.0
47,00b8a8b3764cc43861d0bfa4dc0af1ee,0.0,,,,,,,,,,,
48,00c0021b07265d1c658e6675b6031f5d,0.0,0.0,1.0,0.0,3.0,1.0,,0.0,0.0,0.0,1.0,4.0
49,00ca4517f41ebc5cf1fe5b7f5b2c742a,0.0,0.0,,0.0,,,2.0,,,0.0,,4.0
50,00cb2d287c9055eb5766c21f144bd681,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,,1.0,4.0
51,00cc6aaf43cee7d13b1f7ac75f19b9fd,0.0,,1.0,,,,0.0,0.0,,,,
52,00d4a9c6c0ef5248da37156c862acede,0.0,,,,,,,,,,,
53,00d69ece52280cfefa842b3651992151,4.0,4.0,3.0,3.0,1.0,0.0,0.0,3.0,1.0,3.0,,
54,00d801728caf81f101f42d223cc5a4bf,0.0,,,3.0,0.0,1.0,0.0,0.0,0.0,,1.0,
55,00dfd1dab4ff6ae0c21da1a85c361e80,0.0,,,0.0,,1.0,,,,,0.0,0.0
56,00e1a6189f5b9ddde8041f450b0d8483,0.0,,,0.0,0.0,1.0,,,0.0,,,
57,00e3c7ebd7db1c0ac1d24344e31355bb,2.0,1.0,0.0,2.0,2.0,0.0,4.0,1.0,2.0,4.0,4.0,2.0
58,00e4edcb55575fb8d4074650754854ce,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,,,,
59,00e5e38b8db3cb439ac3707aa7aeed95,4.0,4.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0
60,00e6f14db2ad47ffa1084f27dddd1af6,0.0,0.0,1.0,3.0,3.0,1.0,,,0.0,,1.0,
61,00e7469cbfd286267003d12e136821de,0.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,,3.0,0.0,4.0
62,00eed474c14f9b22aec058bc39e5c6f3,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0
63,00f5274d206efa87cadf68f8b99238cd,0.0,4.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,0.0,3.0,0.0
64,00f8817b8a9e47c148f2c097f92df1c3,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0
65,00fbc22b589ec35ccdfd431672ccf7da,4.0,,,,,,,,,,,
66,00ff79b174aeedd629f99c23fc13dc5d,0.0,,1.0,,,,0.0,,0.0,,,
67,0101a525b25400bc972e06655d65fc0d,4.0,0.0,1.0,3.0,0.0,1.0,0.0,,,0.0,,4.0
68,010222f02a056a054c9ee6be06b2154f,0.0,0.0,1.0,0.0,3.0,,,0.0,0.0,,,
69,01052baba6a7e56c965a13198964fa7c,0.0,0.0,,0.0,3.0,1.0,0.0,,,,0.0,4.0
70,010bfb6072995d7dafdc5e814aeab1d0,0.0,0.0,1.0,0.0,,,,,,0.0,,
71,010d23a3f8e4071dfe829d9684d40b6e,0.0,4.0,3.0,0.0,,3.0,,,,3.0,,0.0
72,0110371e62e5060f62e80adb61f2847b,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,,0.0,1.0,4.0
73,0113fd43a5f75aaf81c27f89b26c68d1,1.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0
74,01190776bec41cdf11d12c0517c40f91,4.0,4.0,3.0,3.0,0.0,,2.0,,0.0,,,
