,client_id,Frequency7,Items7,Monetary7
0,00053df5878f08fff64bb6d19d857bdb,1,1,99.0
1,0005b7ebab1e76312231acce6ec054b8,1,13,2346.0
2,000b598bb8fa552507ee02a4d4096682,1,14,3011.0
3,00125fe3b05ba65e08e6727837059786,2,3,181.0
4,001ade57055e272b4dfd41b701710e35,2,12,1817.0
5,001db1eb0f1f8d2eddc350ee6b5f9ddc,1,18,1871.46
6,0036108a19275d89a0bbba144e39eada,5,70,8747.64
7,00394c180574d1719172676517e087ea,1,22,1985.0
8,0049ec94684ed5a338738e3c8072c0ec,1,29,1733.0
9,004decae2c0fc97a04bdc81472ddec8f,1,5,1488.0
10,004e2d7541d6fb5fb861ec467216f637,2,41,3611.0
11,00552baa41d5cd9e022518caae9f07fe,5,48,4933.26
12,005740df41b6f960037de9bd45f184c6,2,9,672.0
13,0059129770743d2bce45e555283c06b8,1,24,3347.0
14,005d8c4b703d1ec3e467a55fb5093e4a,2,52,4447.0
15,005e34417f2e3a183788b7e658f42105,3,10,2837.86
16,00608eddd0da408d5825d5f685d9b17c,1,21,932.0
17,0064cf2a5f8e8921a36dfd26eabd926b,2,6,323.0
18,00698aea5b915a68244728781d831e4c,1,7,825.0
19,006f9c768d5710605f468c3efb37f7c1,1,9,727.0
20,0076be9b8aab85eb8264692e02322f6a,3,115,11986.03
21,007f1d482f613e7e5fb74c86b3349ce0,2,7,627.0
22,0080367d1572f54e17444ce2eb8263e1,1,25,1707.0
23,0080de77607ec3a65e18f4bd5bf9c55e,1,10,1602.0000000000002
24,009ab8148630220ae3a26dd86b89a2ca,2,14,1703.0
25,009d078a50c98591da51e79cae55ba2a,2,11,1124.0
26,009d8d95689557f60edf09dc67e5b490,1,3,618.0
27,009f3126936875d007202aa2cb474cf3,1,8,1239.0
28,00a5538a671c122db0275b451faceaa2,2,6,1419.0
29,00aa6208fc2051cac6b8c9308bdb878a,2,9,3929.0
30,00ab4a218b0fb8fbb0bfe07a67b03e38,1,24,2176.0
31,00ad0f13156684a0b18a15a7eafede66,5,83,8291.84
32,00b6cc3545ae4575e4121a307a4bb715,2,95,10262.54
33,00c0021b07265d1c658e6675b6031f5d,1,4,419.0
34,00c2b1d47ba17bf2753b627a255654e0,1,4,186.07
35,00c2fa4878ff9468ae178a9e87172e79,6,37,4315.0
36,00cb2d287c9055eb5766c21f144bd681,1,6,485.0
37,00cc6aaf43cee7d13b1f7ac75f19b9fd,1,21,1048.0
38,00ce53e9ddc5dc99bc7b33d460f6d9a7,2,6,1526.65
39,00d42e2e554b0204e76c5495d287a1b8,1,15,1401.0
40,00d801728caf81f101f42d223cc5a4bf,2,9,1357.0
41,00dbfd7b587e2e9e15122203d952b76e,2,19,2133.0
42,00e42f511e3c450a8f3accea2007c54b,2,33,9012.65
43,00e4edcb55575fb8d4074650754854ce,2,6,673.26
44,00e7469cbfd286267003d12e136821de,6,66,7090.0
45,00eed474c14f9b22aec058bc39e5c6f3,1,20,3374.0
46,00f8817b8a9e47c148f2c097f92df1c3,1,4,147.0
47,00f9287c4decdf0f9182dd15d30bb71d,1,1,262.0
48,010222f02a056a054c9ee6be06b2154f,1,5,310.0
49,01097bd0f6a39a85aea138122fa246c4,1,6,374.0
50,0110371e62e5060f62e80adb61f2847b,2,15,3488.0
51,011985e773ed28af623a306581150b9c,5,29,6056.0
52,011ab0219b8e39a243fc3fdf40aa2623,6,58,10838.0
53,012b682b4ead97e70fa4997834fd11bf,1,3,138.0
54,012d4ac655574bf4a121a29080e04b9d,2,5,573.0
55,0145dd347c12fea121c5ae7eb9c99ee8,2,19,2591.06
56,01487d39325bcec1a7f79e6c8eddf383,1,18,2164.0
57,0148cd60d16150c24baf8da5c05d95eb,2,6,293.0
58,014a4c2df21d89632c1aea00495d8f58,3,36,4714.0
59,014ae63ca75a85be364c4b9b3db0ca74,1,4,323.0
60,014ebfe80db23a18e451e58bca0c5b32,5,17,2051.08
61,014fa265f375c4aff5d779757c918ed8,1,4,330.0
62,0152ff9cd34bc8b7f741e5f37da95c07,2,14,2512.0
63,0155cd3c31a79022e444086432a21ac7,5,63,10580.0
64,0156115001fcf9635709ac7bc231b497,1,1,268.0
65,015bf3a15f955d23638a6f3b857c01b1,2,23,1506.0
66,0165a78a416355d163b973798251d8a4,4,10,1041.0
67,016c56937fcdf6ddfe3aa160f47f232b,3,39,6649.0
68,017269033cb5d7b45c979452e765c1f1,1,8,610.0
69,0172f7e12794ed0282e316022f834fd2,4,42,3007.0099999999998
70,01789354a9205ac0e120df806b507ec8,4,30,2560.0
71,017b589ee09f22b74f81ced4076cdb70,3,26,1672.0
72,01838bfaa16ca57a9fda8a4b52d12fc9,1,2,160.20000000000002
73,0190d53671419bf305c4d8b6b231acfd,3,31,1600.0
74,01927a19bb9f3aa1a494663bac5e6ecf,2,34,3865.0
75,0196ccbfa2998a06d53613ce100da1cf,1,4,300.0
76,019ad8bb492ff141c8bbc84c113c82b6,4,35,4766.01
77,019b309274752905ead1467bf84b57e4,3,23,2627.26
78,01a0c163402e625af3b8a29a2b14c945,2,10,2440.0
79,01a4a925642a0cd9e281b3f4966aacdd,1,18,1323.0
80,01a8610dd1478cb1ca4b4e30c7cd2bc1,1,20,827.0
81,01a8a7b3d696fc1e082a0088ab8892fa,3,41,3927.0
82,01a92aa8d74f9d8bd5a9bb47bfc465f8,2,22,3352.0
83,01b5ff8d2e41167fe612fc33bc67d119,2,17,864.0
84,01b73afa071af2356a53a315500fe5a8,1,16,1717.0
85,01b7e8449fb03991c1861409504776cd,2,16,599.0
86,01bac4aea86070a7474bdb89a22ef7b7,2,12,899.0
87,01c085f76411fbca33b474798a2dbfe7,1,4,325.0
88,01cd0fc7d1bf8d8137572a4600616ae6,1,16,899.0
89,01cd4d043fc091a95990538ec3674bd7,2,19,2378.0
90,01dcce57dbc17da93aeaecdd3f25702b,2,51,9210.06
91,01dcd7c1da02192ba4bacd3950e80e41,4,31,4656.0
92,01e00c9dff1fbcf65b630f9b7ea2631e,3,52,5405.0
93,01e0cdcc43cd3ffa3db843eb8501e388,4,39,6146.0
94,01e80cd442ab030e0a9ddee38e3946a7,3,19,2309.0
95,01ef06a76935ce7d3d66bf6b71d04d25,1,15,2302.0
96,01fface80f7730c705a1be19d9acc184,1,1,129.0
97,0200b979ed19bfa86d5c31b77a7a28b0,2,18,1908.0
98,02023a48919caa6c9424427a9585feae,3,29,4845.67
99,02041e8b1a6a17064bbd51ea87a8f27a,5,34,4027.0
100,0206c03d225fc9ded09b5514d32ecfa3,5,109,8884.34
101,0207e0e89ec188c05edfcc96487d9862,3,46,6398.0
